_lowerFrequency,_higherFrequency,_term,_status,_shortComments
8300,9000,Meteorological Aids,primary,
9000,11300,Meteorological Aids,primary,
9000,11300,Radionavigation,primary,
11300,14000,Radionavigation,primary,
14000,19950,Fixed,primary,
14000,19950,Maritime Mobile,primary,
19950,20050,Standard Frequency and Time Signal,primary,
20050,70000,Fixed,primary,
20050,70000,Maritime Mobile,primary,
70000,72000,Radionavigation,primary,
72000,84000,Fixed,primary,
72000,84000,Maritime Mobile,primary,
72000,84000,Radionavigation,primary,
84000,86000,Radionavigation,primary,
86000,90000,Radionavigation,primary,
86000,90000,Maritime Mobile,primary,
86000,90000,Fixed,primary,
90000,110000,Radionavigation,primary,
90000,110000,Fixed,secondary,
110000,112000,Fixed,primary,
110000,112000,Maritime Mobile,primary,
110000,112000,Radionavigation,primary,
112000,115000,Radionavigation,primary,
115000,117600,Radionavigation,primary,
115000,117600,Fixed,secondary,
115000,117600,Maritime Mobile,secondary,
117600,126000,Fixed,primary,
117600,126000,Maritime Mobile,primary,
117600,126000,Radionavigation,primary,
126000,129000,Radionavigation,primary,
129000,130000,Fixed,primary,
129000,130000,Maritime Mobile,primary,
129000,130000,Radionavigation,primary,
130000,135700,Fixed,primary,
130000,135700,Maritime Mobile,primary,
135700,137800,Fixed,primary,
135700,137800,Maritime Mobile,primary,
135700,137800,Amateur,secondary,
137800,148500,Fixed,primary,
137800,148500,Maritime Mobile,primary,
148500,255000,Broadcasting,primary,
255000,283500,Aeronautical Radionavigation,primary,
255000,283500,Broadcasting,primary,
283500,315000,Aeronautical Radionavigation,primary,
283500,315000,Maritime Radionavigation (Radiobeacons),primary,
315000,325000,Aeronautical Radionavigation,primary,
315000,325000,Maritime Radionavigation,secondary,
325000,405000,Aeronautical Radionavigation,primary,
405000,415000,Radionavigation,primary,
415000,435000,Aeronautical Radionavigation,primary,
415000,435000,Maritime Mobile,primary,
435000,472000,Aeronautical Radionavigation,primary,
435000,472000,Maritime Mobile,primary,
472000,479000,Aeronautical Radionavigation,primary,
472000,479000,Maritime Mobile,primary,
479000,495000,Aeronautical Radionavigation,primary,
479000,495000,Maritime Mobile,primary,
495000,505000,Mobile,primary,
505000,526500,Aeronautical Radionavigation,primary,
505000,526500,Maritime Mobile,primary,
526500,1606500,Broadcasting,primary,
1606500,1625000,Fixed,primary,
1606500,1625000,Land Mobile,primary,
1606500,1625000,Maritime Mobile,primary,
1606500,1625000,Radiolocation,secondary,
1625000,1635000,Radiolocation,primary,
1635000,1800000,Fixed,primary,
1635000,1800000,Land Mobile,primary,
1635000,1800000,Maritime Mobile,primary,
1800000,1810000,Radiolocation,primary,
1810000,1850000,Amateur,primary,
1850000,2000000,Fixed,primary,
1850000,2000000,Mobile except aeronautical mobile (R),primary,
1850000,2000000,Amateur,secondary,
2000000,2025000,Mobile except aeronautical mobile (R),primary,
2000000,2025000,Fixed,primary,
2025000,2045000,Fixed,primary,
2025000,2045000,Mobile except aeronautical mobile (R),primary,
2045000,2160000,Fixed,primary,
2045000,2160000,Land Mobile,primary,
2045000,2160000,Maritime Mobile,primary,
2160000,2170000,Radiolocation,primary,
2170000,2173500,Land Mobile,primary,
2170000,2173500,Maritime Mobile,primary,
2173500,2190500,Mobile (distress and calling),primary,
2190500,2194000,Land Mobile,primary,
2190500,2194000,Maritime Mobile,primary,
2194000,2300000,Fixed,primary,
2194000,2300000,Mobile except aeronautical mobile (R),primary,
2300000,2498000,Mobile except aeronautical mobile (R),primary,
2300000,2498000,Fixed,primary,
2498000,2501000,Standard Frequency and Time Signal,primary,
2501000,2502000,Standard Frequency and Time Signal,primary,
2502000,2625000,Mobile except aeronautical mobile (R),primary,
2502000,2625000,Fixed,primary,
2625000,2650000,Land Mobile,primary,
2625000,2650000,Maritime Mobile,primary,
2625000,2650000,Maritime Radionavigation,secondary,
2650000,2850000,Fixed,primary,
2650000,2850000,Mobile except aeronautical mobile (R),primary,
2850000,3025000,Aeronautical Mobile (R),primary,
3025000,3155000,Aeronautical Mobile (OR),primary,
3155000,3200000,Mobile except aeronautical mobile (R),primary,
3155000,3200000,Fixed,primary,
3200000,3230000,Fixed,primary,
3200000,3230000,Mobile except aeronautical mobile (R),primary,
3230000,3400000,Fixed,primary,
3230000,3400000,Mobile except aeronautical mobile,primary,
3400000,3500000,Aeronautical Mobile (R),primary,
3500000,3800000,Amateur,primary,
3500000,3800000,Fixed,primary,
3500000,3800000,Mobile except aeronautical mobile,primary,
3800000,3900000,Aeronautical Mobile (OR),primary,
3800000,3900000,Fixed,primary,
3800000,3900000,Land Mobile,primary,
3900000,3950000,Aeronautical Mobile (OR),primary,
3950000,4000000,Broadcasting,primary,
3950000,4000000,Fixed,primary,
4000000,4063000,Fixed,primary,
4000000,4063000,Maritime Mobile,primary,
4063000,4438000,Maritime Mobile,primary,
4438000,4488000,Fixed,primary,
4438000,4488000,Mobile except aeronautical mobile (R),primary,
4438000,4488000,Radiolocation,secondary,
4488000,4650000,Fixed,primary,
4488000,4650000,Mobile except aeronautical mobile (R),primary,
4650000,4700000,Aeronautical Mobile (R),primary,
4700000,4750000,Aeronautical Mobile (OR),primary,
4750000,4850000,Aeronautical Mobile (OR),primary,
4750000,4850000,Fixed,primary,
4750000,4850000,Land Mobile,primary,
4850000,4995000,Fixed,primary,
4850000,4995000,Land Mobile,primary,
4995000,5003000,Standard Frequency and Time Signal (5 000 kHz),primary,
5003000,5005000,Standard Frequency and Time Signal,primary,
5003000,5005000,Space Research,secondary,
5005000,5060000,Fixed,primary,
5060000,5250000,Fixed,primary,
5060000,5250000,Mobile except aeronautical mobile,secondary,
5250000,5275000,Fixed,primary,
5250000,5275000,Mobile except aeronautical mobile,primary,
5250000,5275000,Radiolocation,secondary,
5275000,5351500,Fixed,primary,
5275000,5351500,Mobile except aeronautical mobile,primary,
5351500,5366500,Fixed,primary,
5351500,5366500,Mobile except aeronautical mobile,primary,
5351500,5366500,Amateur,secondary,
5366500,5450000,Fixed,primary,
5366500,5450000,Mobile except aeronautical mobile,primary,
5450000,5480000,Aeronautical Mobile (OR),primary,
5450000,5480000,Fixed,primary,
5450000,5480000,Land Mobile,primary,
